SFY,All Funding Sources,AGE,Test Type,# of Tests
2010-2011,All,11,Ova/ Parasites,11
2010-2011,All,11,Total Cholesterol,898
2010-2011,All,12,Sickle Cell,22
2010-2011,All,12,Blood Lead,240
2010-2011,All,12,Lead Test,629
2010-2011,All,12,Lead Referral,77
2010-2011,All,12,""VDRL, RPR, ART"",51
2010-2011,All,12,Gonorrhea,255
2010-2011,All,12,Pap Smear,32
2010-2011,All,12,Chlamydia,498
2010-2011,All,12,Pelvic Exam,33
2010-2011,All,12,Ova/ Parasites,
2010-2011,All,12,Total Cholesterol,965
2010-2011,All,13,Sickle Cell,24
2010-2011,All,13,Blood Lead,226
2010-2011,All,13,Lead Test,602
2010-2011,All,13,Lead Referral,50
2010-2011,All,13,""VDRL, RPR, ART"",91
2010-2011,All,13,Gonorrhea,399
2010-2011,All,13,Pap Smear,44
2010-2011,All,13,Chlamydia,709
2010-2011,All,13,Pelvic Exam,44
2010-2011,All,13,Ova/ Parasites,
2010-2011,All,13,Total Cholesterol,879
2010-2011,All,14,Sickle Cell,
2010-2011,All,14,Blood Lead,211
2010-2011,All,14,Lead Test,636
2010-2011,All,14,Lead Referral,71
2010-2011,All,14,""VDRL, RPR, ART"",163
2010-2011,All,14,Gonorrhea,1289
2010-2011,All,14,Pap Smear,46
2010-2011,All,14,Chlamydia,1560
2010-2011,All,14,Pelvic Exam,41
2010-2011,All,14,Ova/ Parasites,
2010-2011,All,14,Total Cholesterol,974
2010-2011,All,15,Sickle Cell,29
2010-2011,All,15,Blood Lead,212
2010-2011,All,15,Lead Test,613
2010-2011,All,15,Lead Referral,48
2010-2011,All,15,""VDRL, RPR, ART"",335
2010-2011,All,15,Gonorrhea,2161
2010-2011,All,15,Pap Smear,55
2010-2011,All,15,Chlamydia,2764
2010-2011,All,15,Pelvic Exam,61
2010-2011,All,15,Ova/ Parasites,
2010-2011,All,15,Total Cholesterol,938
2010-2011,All,16,Sickle Cell,26
2010-2011,All,16,Blood Lead,188
2010-2011,All,16,Lead Test,571
2010-2011,All,16,Lead Referral,43
2010-2011,All,16,""VDRL, RPR, ART"",494
2010-2011,All,16,Gonorrhea,2698
2010-2011,All,16,Pap Smear,87
2010-2011,All,16,Chlamydia,3353
2010-2011,All,16,Pelvic Exam,86
2010-2011,All,16,Ova/ Parasites,
2010-2011,All,16,Total Cholesterol,910
2010-2011,All,17,Sickle Cell,32
2010-2011,All,17,Blood Lead,181
2010-2011,All,17,Lead Test,493
2010-2011,All,17,Lead Referral,33
2010-2011,All,17,""VDRL, RPR, ART"",1013
2010-2011,All,17,Gonorrhea,2923
2010-2011,All,17,Pap Smear,107
2010-2011,All,17,Chlamydia,3495
2010-2011,All,17,Pelvic Exam,108
2010-2011,All,17,Ova/ Parasites,
2010-2011,All,17,Total Cholesterol,792
2010-2011,All,18,Sickle Cell,58
2010-2011,All,18,Blood Lead,140
2010-2011,All,18,Lead Test,306
2010-2011,All,18,Lead Referral,29
2010-2011,All,18,""VDRL, RPR, ART"",1588
2010-2011,All,18,Gonorrhea,2039
2010-2011,All,18,Pap Smear,105
2010-2011,All,18,Chlamydia,2387
2010-2011,All,18,Pelvic Exam,122
2010-2011,All,18,Ova/ Parasites,
2010-2011,All,18,Total Cholesterol,517
2010-2011,All,19,Sickle Cell,0
2010-2011,All,19,Blood Lead,
2010-2011,All,19,Lead Test,72
2010-2011,All,19,Lead Referral,
2010-2011,All,19,""VDRL, RPR, ART"",95
2010-2011,All,19,Gonorrhea,223
2010-2011,All,19,Pap Smear,58
2010-2011,All,19,Chlamydia,389
2010-2011,All,19,Pelvic Exam,36
2010-2011,All,19,Ova/ Parasites,0
2010-2011,All,19,Total Cholesterol,
2010-2011,All,20,Sickle Cell,
2010-2011,All,20,Blood Lead,49
2010-2011,All,20,Lead Test,267
2010-2011,All,20,Lead Referral,
2010-2011,All,20,""VDRL, RPR, ART"",64
2010-2011,All,20,Gonorrhea,157
2010-2011,All,20,Pap Smear,70
2010-2011,All,20,Chlamydia,294
2010-2011,All,20,Pelvic Exam,45
2010-2011,All,20,Ova/ Parasites,
2010-2011,All,20,Total Cholesterol,81
2010-2011,All,UNKNOWN,Sickle Cell,0
2010-2011,All,UNKNOWN,Blood Lead,
2010-2011,All,UNKNOWN,Lead Test,28
2010-2011,All,UNKNOWN,Lead Referral,
2010-2011,All,UNKNOWN,""VDRL, RPR, ART"",0
2010-2011,All,UNKNOWN,Gonorrhea,0
2010-2011,All,UNKNOWN,Pap Smear,0
2010-2011,All,UNKNOWN,Chlamydia,0
2010-2011,All,UNKNOWN,Pelvic Exam,0
2010-2011,All,UNKNOWN,Ova/ Parasites,
2010-2011,All,UNKNOWN,Total Cholesterol,
2010-2011,FFS,0,Sickle Cell,
2010-2011,FFS,0,Blood Lead,893
2010-2011,FFS,0,Lead Test,445
2010-2011,FFS,0,Lead Referral,92
2010-2011,FFS,0,""VDRL, RPR, ART"",0
2010-2011,FFS,0,Gonorrhea,0
2010-2011,FFS,0,Pap Smear,0
2010-2011,FFS,0,Chlamydia,
2010-2011,FFS,0,Pelvic Exam,0
2010-2011,FFS,0,Ova/ Parasites,
2010-2011,FFS,0,Total Cholesterol,
2010-2011,FFS,1,Sickle Cell,22
2010-2011,FFS,1,Blood Lead,8164
2010-2011,FFS,1,Lead Test,8102
2010-2011,FFS,1,Lead Referral,1580
2010-2011,FFS,1,""VDRL, RPR, ART"",
2010-2011,FFS,1,Gonorrhea,0
2010-2011,FFS,1,Pap Smear,
2010-2011,FFS,1,Chlamydia,0
2010-2011,FFS,1,Pelvic Exam,
2010-2011,FFS,1,Ova/ Parasites,
2010-2011,FFS,1,Total Cholesterol,
2010-2011,FFS,2,Sickle Cell,11
2010-2011,FFS,2,Blood Lead,6256
2010-2011,FFS,2,Lead Test,6350
2010-2011,FFS,2,Lead Referral,1072
2010-2011,FFS,2,""VDRL, RPR, ART"",
2010-2011,FFS,2,Gonorrhea,0
2010-2011,FFS,2,Pap Smear,
2010-2011,FFS,2,Chlamydia,
2010-2011,FFS,2,Pelvic Exam,0
2010-2011,FFS,2,Ova/ Parasites,
2010-2011,FFS,2,Total Cholesterol,
2010-2011,FFS,3,Sickle Cell,
2010-2011,FFS,3,Blood Lead,2313
2010-2011,FFS,3,Lead Test,2569
2010-2011,FFS,3,Lead Referral,346
2010-2011,FFS,3,""VDRL, RPR, ART"",
2010-2011,FFS,3,Gonorrhea,
2010-2011,FFS,3,Pap Smear,0
2010-2011,FFS,3,Chlamydia,
2010-2011,FFS,3,Pelvic Exam,
2010-2011,FFS,3,Ova/ Parasites,
2010-2011,FFS,3,Total Cholesterol,12
2010-2011,FFS,4,Sickle Cell,19
2010-2011,FFS,4,Blood Lead,2250
2010-2011,FFS,4,Lead Test,2443
2010-2011,FFS,4,Lead Referral,378
2010-2011,FFS,4,""VDRL, RPR, ART"",0
2010-2011,FFS,4,Gonorrhea,0
2010-2011,FFS,4,Pap Smear,0
2010-2011,FFS,4,Chlamydia,0
2010-2011,FFS,4,Pelvic Exam,
2010-2011,FFS,4,Ova/ Parasites,
2010-2011,FFS,4,Total Cholesterol,
2010-2011,FFS,5,Sickle Cell,
2010-2011,FFS,5,Blood Lead,949
2010-2011,FFS,5,Lead Test,1168
2010-2011,FFS,5,Lead Referral,190
2010-2011,FFS,5,""VDRL, RPR, ART"",
2010-2011,FFS,5,Gonorrhea,0
2010-2011,FFS,5,Pap Smear,0
2010-2011,FFS,5,Chlamydia,0
2010-2011,FFS,5,Pelvic Exam,0
2010-2011,FFS,5,Ova/ Parasites,
2010-2011,FFS,5,Total Cholesterol,
2010-2011,FFS,6,Sickle Cell,
2010-2011,FFS,6,Blood Lead,220
2010-2011,FFS,6,Lead Test,294
2010-2011,FFS,6,Lead Referral,
2010-2011,FFS,6,""VDRL, RPR, ART"",
2010-2011,FFS,6,Gonorrhea,0
2010-2011,FFS,6,Pap Smear,0
2010-2011,FFS,6,Chlamydia,0
2010-2011,FFS,6,Pelvic Exam,0
2010-2011,FFS,6,Ova/ Parasites,
2010-2011,FFS,6,Total Cholesterol,
2010-2011,FFS,7,Sickle Cell,
2010-2011,FFS,7,Blood Lead,
2010-2011,FFS,7,Lead Test,105
2010-2011,FFS,7,Lead Referral,
2010-2011,FFS,7,""VDRL, RPR, ART"",0
2010-2011,FFS,7,Gonorrhea,0
2010-2011,FFS,7,Pap Smear,0
2010-2011,FFS,7,Chlamydia,0
2010-2011,FFS,7,Pelvic Exam,0
2010-2011,FFS,7,Ova/ Parasites,
2010-2011,FFS,7,Total Cholesterol,32
2010-2011,FFS,8,Sickle Cell,
2010-2011,FFS,8,Blood Lead,
2010-2011,FFS,8,Lead Test,97
2010-2011,FFS,8,Lead Referral,
2010-2011,FFS,8,""VDRL, RPR, ART"",0
2010-2011,FFS,8,Gonorrhea,
2010-2011,FFS,8,Pap Smear,0
2010-2011,FFS,8,Chlamydia,0
2010-2011,FFS,8,Pelvic Exam,0
2010-2011,FFS,8,Ova/ Parasites,0
2010-2011,FFS,8,Total Cholesterol,28
2010-2011,FFS,9,Sickle Cell,
2010-2011,FFS,9,Blood Lead,
2010-2011,FFS,9,Lead Test,70
2010-2011,FFS,9,Lead Referral,
2010-2011,FFS,9,""VDRL, RPR, ART"",0
2010-2011,FFS,9,Gonorrhea,0
2010-2011,FFS,9,Pap Smear,0
2010-2011,FFS,9,Chlamydia,
2010-2011,FFS,9,Pelvic Exam,0
2010-2011,FFS,9,Ova/ Parasites,0
2010-2011,FFS,9,Total Cholesterol,42
2010-2011,FFS,10,Sickle Cell,
2010-2011,FFS,10,Blood Lead,49
2010-2011,FFS,10,Lead Test,72
2010-2011,FFS,10,Lead Referral,
2010-2011,FFS,10,""VDRL, RPR, ART"",
2010-2011,FFS,10,Gonorrhea,0
2010-2011,FFS,10,Pap Smear,0
2010-2011,FFS,10,Chlamydia,
2010-2011,FFS,10,Pelvic Exam,0
2010-2011,FFS,10,Ova/ Parasites,0
2010-2011,FFS,10,Total Cholesterol,44
2010-2011,FFS,11,Sickle Cell,
2010-2011,FFS,11,Blood Lead,82
2010-2011,FFS,11,Lead Test,92
2010-2011,FFS,11,Lead Referral,
2010-2011,FFS,11,""VDRL, RPR, ART"",
2010-2011,FFS,11,Gonorrhea,0
2010-2011,FFS,11,Pap Smear,0
2010-2011,FFS,11,Chlamydia,
2010-2011,FFS,11,Pelvic Exam,0
2010-2011,FFS,11,Ova/ Parasites,0
2010-2011,FFS,11,Total Cholesterol,58
2010-2011,FFS,12,Sickle Cell,
2010-2011,FFS,12,Blood Lead,
2010-2011,FFS,12,Lead Test,95
2010-2011,FFS,12,Lead Referral,
2010-2011,FFS,12,""VDRL, RPR, ART"",
2010-2011,FFS,12,Gonorrhea,13
2010-2011,FFS,12,Pap Smear,0
2010-2011,FFS,12,Chlamydia,21
2010-2011,FFS,12,Pelvic Exam,
2010-2011,FFS,12,Ova/ Parasites,0
2010-2011,FFS,12,Total Cholesterol,63
2010-2011,FFS,13,Sickle Cell,0
2010-2011,FFS,13,Blood Lead,
2010-2011,FFS,13,Lead Test,80
2010-2011,FFS,13,Lead Referral,
2010-2011,FFS,13,""VDRL, RPR, ART"",
2010-2011,FFS,13,Gonorrhea,21
2010-2011,FFS,13,Pap Smear,
2010-2011,FFS,13,Chlamydia,34
2010-2011,FFS,13,Pelvic Exam,
2010-2011,FFS,13,Ova/ Parasites,
2010-2011,FFS,13,Total Cholesterol,47
2010-2011,FFS,14,Sickle Cell,0
2010-2011,FFS,14,Blood Lead,50
2010-2011,FFS,14,Lead Test,73
2010-2011,FFS,14,Lead Referral,
2010-2011,FFS,14,""VDRL, RPR, ART"",22
2010-2011,FFS,14,Gonorrhea,45
2010-2011,FFS,14,Pap Smear,
2010-2011,FFS,14,Chlamydia,55
2010-2011,FFS,14,Pelvic Exam,
2010-2011,FFS,14,Ova/ Parasites,0
2010-2011,FFS,14,Total Cholesterol,80
2010-2011,FFS,15,Sickle Cell,
2010-2011,FFS,15,Blood Lead,
2010-2011,FFS,15,Lead Test,70
2010-2011,FFS,15,Lead Referral,
2010-2011,FFS,15,""VDRL, RPR, ART"",38
2010-2011,FFS,15,Gonorrhea,73
2010-2011,FFS,15,Pap Smear,
2010-2011,FFS,15,Chlamydia,106
2010-2011,FFS,15,Pelvic Exam,
2010-2011,FFS,15,Ova/ Parasites,
2010-2011,FFS,15,Total Cholesterol,69
2010-2011,FFS,16,Sickle Cell,
2010-2011,FFS,16,Blood Lead,
2010-2011,FFS,16,Lead Test,83
2010-2011,FFS,16,Lead Referral,
2010-2011,FFS,16,""VDRL, RPR, ART"",46
2010-2011,FFS,16,Gonorrhea,94
2010-2011,FFS,16,Pap Smear,
2010-2011,FFS,16,Chlamydia,144
2010-2011,FFS,16,Pelvic Exam,17
2010-2011,FFS,16,Ova/ Parasites,
2010-2011,FFS,16,Total Cholesterol,90
2010-2011,FFS,17,Sickle Cell,
2010-2011,FFS,17,Blood Lead,
2010-2011,FFS,17,Lead Test,65
2010-2011,FFS,17,Lead Referral,
2010-2011,FFS,17,""VDRL, RPR, ART"",53
2010-2011,FFS,17,Gonorrhea,126
2010-2011,FFS,17,Pap Smear,
2010-2011,FFS,17,Chlamydia,161
2010-2011,FFS,17,Pelvic Exam,
2010-2011,FFS,17,Ova/ Parasites,0
2010-2011,FFS,17,Total Cholesterol,59
2010-2011,FFS,18,Sickle Cell,0
2010-2011,FFS,18,Blood Lead,
2010-2011,FFS,18,Lead Test,
2010-2011,FFS,18,Lead Referral,0
2010-2011,FFS,18,""VDRL, RPR, ART"",40
2010-2011,FFS,18,Gonorrhea,61
2010-2011,FFS,18,Pap Smear,
2010-2011,FFS,18,Chlamydia,77
2010-2011,FFS,18,Pelvic Exam,
2010-2011,FFS,18,Ova/ Parasites,0
2010-2011,FFS,18,Total Cholesterol,41
2010-2011,FFS,19,Sickle Cell,0
2010-2011,FFS,19,Blood Lead,
2010-2011,FFS,19,Lead Test,
2010-2011,FFS,19,Lead Referral,0
2010-2011,FFS,19,""VDRL, RPR, ART"",
2010-2011,FFS,19,Gonorrhea,13
2010-2011,FFS,19,Pap Smear,
2010-2011,FFS,19,Chlamydia,30
2010-2011,FFS,19,Pelvic Exam,
2010-2011,FFS,19,Ova/ Parasites,0
2010-2011,FFS,19,Total Cholesterol,
2010-2011,FFS,20,Sickle Cell,0
2010-2011,FFS,20,Blood Lead,
2010-2011,FFS,20,Lead Test,
2010-2011,FFS,20,Lead Referral,0
2010-2011,FFS,20,""VDRL, RPR, ART"",
2010-2011,FFS,20,Gonorrhea,11
2010-2011,FFS,20,Pap Smear,
2010-2011,FFS,20,Chlamydia,22
2010-2011,FFS,20,Pelvic Exam,
2010-2011,FFS,20,Ova/ Parasites,0
2010-2011,FFS,20,Total Cholesterol,
2010-2011,FFS,UNKNOWN,Sickle Cell,0
2010-2011,FFS,UNKNOWN,Blood Lead,0
2010-2011,FFS,UNKNOWN,Lead Test,0
2010-2011,FFS,UNKNOWN,Lead Referral,0
2010-2011,FFS,UNKNOWN,""VDRL, RPR, ART"",0
2010-2011,FFS,UNKNOWN,Gonorrhea,0
2010-2011,FFS,UNKNOWN,Pap Smear,0
2010-2011,FFS,UNKNOWN,Chlamydia,0
2010-2011,FFS,UNKNOWN,Pelvic Exam,0
2010-2011,FFS,UNKNOWN,Ova/ Parasites,0
2010-2011,FFS,UNKNOWN,Total Cholesterol,0
2010-2011,GFS,0,Sickle Cell,
2010-2011,GFS,0,Blood Lead,
2010-2011,GFS,0,Lead Test,
2010-2011,GFS,0,Lead Referral,60
2010-2011,GFS,0,""VDRL, RPR, ART"",
2010-2011,GFS,0,Gonorrhea,
2010-2011,GFS,0,Pap Smear,0
2010-2011,GFS,0,Chlamydia,
2010-2011,GFS,0,Pelvic Exam,
2010-2011,GFS,0,Ova/ Parasites,0
2010-2011,GFS,0,Total Cholesterol,0
2010-2011,GFS,1,Sickle Cell,30
2010-2011,GFS,1,Blood Lead,3263
2010-2011,GFS,1,Lead Test,5075
2010-2011,GFS,1,Lead Referral,
2010-2011,GFS,1,""VDRL, RPR, ART"",0
2010-2011,GFS,1,Gonorrhea,0
2010-2011,GFS,1,Pap Smear,0
2010-2011,GFS,1,Chlamydia,
2010-2011,GFS,1,Pelvic Exam,0
2010-2011,GFS,1,Ova/ Parasites,
2010-2011,GFS,1,Total Cholesterol,
2010-2011,GFS,2,Sickle Cell,15
2010-2011,GFS,2,Blood Lead,2487
2010-2011,GFS,2,Lead Test,4053
2010-2011,GFS,2,Lead Referral,
2010-2011,GFS,2,""VDRL, RPR, ART"",
2010-2011,GFS,2,Gonorrhea,0
2010-2011,GFS,2,Pap Smear,0
2010-2011,GFS,2,Chlamydia,0
2010-2011,GFS,2,Pelvic Exam,0
2010-2011,GFS,2,Ova/ Parasites,
2010-2011,GFS,2,Total Cholesterol,
2010-2011,GFS,3,Sickle Cell,
2010-2011,GFS,3,Blood Lead,1580
2010-2011,GFS,3,Lead Test,2525
2010-2011,GFS,3,Lead Referral,
2010-2011,GFS,3,""VDRL, RPR, ART"",0
2010-2011,GFS,3,Gonorrhea,0
2010-2011,GFS,3,Pap Smear,0
2010-2011,GFS,3,Chlamydia,
2010-2011,GFS,3,Pelvic Exam,0
2010-2011,GFS,3,Ova/ Parasites,
2010-2011,GFS,3,Total Cholesterol,24
2010-2011,GFS,4,Sickle Cell,
2010-2011,GFS,4,Blood Lead,1897
2010-2011,GFS,4,Lead Test,3032
2010-2011,GFS,4,Lead Referral,
2010-2011,GFS,4,""VDRL, RPR, ART"",0
2010-2011,GFS,4,Gonorrhea,0
2010-2011,GFS,4,Pap Smear,0
2010-2011,GFS,4,Chlamydia,0
2010-2011,GFS,4,Pelvic Exam,
2010-2011,GFS,4,Ova/ Parasites,
2010-2011,GFS,4,Total Cholesterol,49
2010-2011,GFS,5,Sickle Cell,
2010-2011,GFS,5,Blood Lead,1345
2010-2011,GFS,5,Lead Test,2057
2010-2011,GFS,5,Lead Referral,
2010-2011,GFS,5,""VDRL, RPR, ART"",
2010-2011,GFS,5,Gonorrhea,0
2010-2011,GFS,5,Pap Smear,0
2010-2011,GFS,5,Chlamydia,
2010-2011,GFS,5,Pelvic Exam,
2010-2011,GFS,5,Ova/ Parasites,
2010-2011,GFS,5,Total Cholesterol,56
2010-2011,GFS,6,Sickle Cell,
2010-2011,GFS,6,Blood Lead,335
2010-2011,GFS,6,Lead Test,618
2010-2011,GFS,6,Lead Referral,64
2010-2011,GFS,6,""VDRL, RPR, ART"",0
2010-2011,GFS,6,Gonorrhea,0
2010-2011,GFS,6,Pap Smear,
2010-2011,GFS,6,Chlamydia,
2010-2011,GFS,6,Pelvic Exam,0
2010-2011,GFS,6,Ova/ Parasites,
2010-2011,GFS,6,Total Cholesterol,87
2010-2011,GFS,7,Sickle Cell,24
2010-2011,GFS,7,Blood Lead,161
2010-2011,GFS,7,Lead Test,255
2010-2011,GFS,7,Lead Referral,28
2010-2011,GFS,7,""VDRL, RPR, ART"",0
2010-2011,GFS,7,Gonorrhea,0
2010-2011,GFS,7,Pap Smear,0
2010-2011,GFS,7,Chlamydia,0
2010-2011,GFS,7,Pelvic Exam,
2010-2011,GFS,7,Ova/ Parasites,
2010-2011,GFS,7,Total Cholesterol,136
2010-2011,GFS,8,Sickle Cell,22
2010-2011,GFS,8,Blood Lead,111
2010-2011,GFS,8,Lead Test,202
2010-2011,GFS,8,Lead Referral,14
2010-2011,GFS,8,""VDRL, RPR, ART"",0
2010-2011,GFS,8,Gonorrhea,
2010-2011,GFS,8,Pap Smear,0
2010-2011,GFS,8,Chlamydia,
2010-2011,GFS,8,Pelvic Exam,0
2010-2011,GFS,8,Ova/ Parasites,
2010-2011,GFS,8,Total Cholesterol,152
2010-2011,GFS,9,Sickle Cell,
2010-2011,GFS,9,Blood Lead,97
2010-2011,GFS,9,Lead Test,175
2010-2011,GFS,9,Lead Referral,12
2010-2011,GFS,9,""VDRL, RPR, ART"",
2010-2011,GFS,9,Gonorrhea,
2010-2011,GFS,9,Pap Smear,0
2010-2011,GFS,9,Chlamydia,
2010-2011,GFS,9,Pelvic Exam,0
2010-2011,GFS,9,Ova/ Parasites,
2010-2011,GFS,9,Total Cholesterol,178
2010-2011,GFS,10,Sickle Cell,
2010-2011,GFS,10,Blood Lead,86
2010-2011,GFS,10,Lead Test,169
2010-2011,GFS,10,Lead Referral,19
2010-2011,GFS,10,""VDRL, RPR, ART"",
2010-2011,GFS,10,Gonorrhea,0
2010-2011,GFS,10,Pap Smear,0
2010-2011,GFS,10,Chlamydia,
2010-2011,GFS,10,Pelvic Exam,
2010-2011,GFS,10,Ova/ Parasites,
2010-2011,GFS,10,Total Cholesterol,204
2010-2011,GFS,11,Sickle Cell,14
2010-2011,GFS,11,Blood Lead,81
2010-2011,GFS,11,Lead Test,182
2010-2011,GFS,11,Lead Referral,28
2010-2011,GFS,11,""VDRL, RPR, ART"",
2010-2011,GFS,11,Gonorrhea,
2010-2011,GFS,11,Pap Smear,0
2010-2011,GFS,11,Chlamydia,
2010-2011,GFS,11,Pelvic Exam,0
2010-2011,GFS,11,Ova/ Parasites,
2010-2011,GFS,11,Total Cholesterol,312
2010-2011,GFS,12,Sickle Cell,11
2010-2011,GFS,12,Blood Lead,63
2010-2011,GFS,12,Lead Test,203
2010-2011,GFS,12,Lead Referral,27
2010-2011,GFS,12,""VDRL, RPR, ART"",
2010-2011,GFS,12,Gonorrhea,32
2010-2011,GFS,12,Pap Smear,0
2010-2011,GFS,12,Chlamydia,52
2010-2011,GFS,12,Pelvic Exam,0
2010-2011,GFS,12,Ova/ Parasites,
2010-2011,GFS,12,Total Cholesterol,293
2010-2011,GFS,13,Sickle Cell,13
2010-2011,GFS,13,Blood Lead,70
2010-2011,GFS,13,Lead Test,199
2010-2011,GFS,13,Lead Referral,19
2010-2011,GFS,13,""VDRL, RPR, ART"",28
2010-2011,GFS,13,Gonorrhea,65
2010-2011,GFS,13,Pap Smear,0
2010-2011,GFS,13,Chlamydia,77
2010-2011,GFS,13,Pelvic Exam,0
2010-2011,GFS,13,Ova/ Parasites,
2010-2011,GFS,13,Total Cholesterol,312
2010-2011,GFS,14,Sickle Cell,
2010-2011,GFS,14,Blood Lead,60
2010-2011,GFS,14,Lead Test,209
2010-2011,GFS,14,Lead Referral,30
2010-2011,GFS,14,""VDRL, RPR, ART"",42
2010-2011,GFS,14,Gonorrhea,775
2010-2011,GFS,14,Pap Smear,0
2010-2011,GFS,14,Chlamydia,797
2010-2011,GFS,14,Pelvic Exam,
2010-2011,GFS,14,Ova/ Parasites,
2010-2011,GFS,14,Total Cholesterol,316
2010-2011,GFS,15,Sickle Cell,17
2010-2011,GFS,15,Blood Lead,66
2010-2011,GFS,15,Lead Test,218
2010-2011,GFS,15,Lead Referral,17
2010-2011,GFS,15,""VDRL, RPR, ART"",118
2010-2011,GFS,15,Gonorrhea,1511
2010-2011,GFS,15,Pap Smear,0
2010-2011,GFS,15,Chlamydia,1566
2010-2011,GFS,15,Pelvic Exam,
2010-2011,GFS,15,Ova/ Parasites,
2010-2011,GFS,15,Total Cholesterol,299
2010-2011,GFS,16,Sickle Cell,
2010-2011,GFS,16,Blood Lead,63
2010-2011,GFS,16,Lead Test,213
2010-2011,GFS,16,Lead Referral,20
2010-2011,GFS,16,""VDRL, RPR, ART"",203
2010-2011,GFS,16,Gonorrhea,1834
2010-2011,GFS,16,Pap Smear,
2010-2011,GFS,16,Chlamydia,1885
2010-2011,GFS,16,Pelvic Exam,
2010-2011,GFS,16,Ova/ Parasites,
2010-2011,GFS,16,Total Cholesterol,281
2010-2011,GFS,17,Sickle Cell,
2010-2011,GFS,17,Blood Lead,52
2010-2011,GFS,17,Lead Test,184
2010-2011,GFS,17,Lead Referral,22
2010-2011,GFS,17,""VDRL, RPR, ART"",671
2010-2011,GFS,17,Gonorrhea,1966
2010-2011,GFS,17,Pap Smear,
2010-2011,GFS,17,Chlamydia,2020
2010-2011,GFS,17,Pelvic Exam,19
2010-2011,GFS,17,Ova/ Parasites,
2010-2011,GFS,17,Total Cholesterol,278
2010-2011,GFS,18,Sickle Cell,58
2010-2011,GFS,18,Blood Lead,75
2010-2011,GFS,18,Lead Test,
2010-2011,GFS,18,Lead Referral,
2010-2011,GFS,18,""VDRL, RPR, ART"",1336
2010-2011,GFS,18,Gonorrhea,1457
2010-2011,GFS,18,Pap Smear,
2010-2011,GFS,18,Chlamydia,1487
2010-2011,GFS,18,Pelvic Exam,61
2010-2011,GFS,18,Ova/ Parasites,
2010-2011,GFS,18,Total Cholesterol,223
2010-2011,GFS,19,Sickle Cell,0
2010-2011,GFS,19,Blood Lead,
2010-2011,GFS,19,Lead Test,0
2010-2011,GFS,19,Lead Referral,0
2010-2011,GFS,19,""VDRL, RPR, ART"",0
2010-2011,GFS,19,Gonorrhea,0
2010-2011,GFS,19,Pap Smear,0
2010-2011,GFS,19,Chlamydia,0
2010-2011,GFS,19,Pelvic Exam,0
2010-2011,GFS,19,Ova/ Parasites,0
2010-2011,GFS,19,Total Cholesterol,0
2010-2011,GFS,20,Sickle Cell,0
2010-2011,GFS,20,Blood Lead,0
2010-2011,GFS,20,Lead Test,0
2010-2011,GFS,20,Lead Referral,0
2010-2011,GFS,20,""VDRL, RPR, ART"",0
2010-2011,GFS,20,Gonorrhea,0
2010-2011,GFS,20,Pap Smear,0
2010-2011,GFS,20,Chlamydia,0
2010-2011,GFS,20,Pelvic Exam,0
2010-2011,GFS,20,Ova/ Parasites,0
2010-2011,GFS,20,Total Cholesterol,0
2010-2011,GFS,UNKNOWN,Sickle Cell,0
2010-2011,GFS,UNKNOWN,Blood Lead,0
2010-2011,GFS,UNKNOWN,Lead Test,0
2010-2011,GFS,UNKNOWN,Lead Referral,0
2010-2011,GFS,UNKNOWN,""VDRL, RPR, ART"",0
2010-2011,GFS,UNKNOWN,Gonorrhea,0
2010-2011,GFS,UNKNOWN,Pap Smear,0
2010-2011,GFS,UNKNOWN,Chlamydia,0
2010-2011,GFS,UNKNOWN,Pelvic Exam,0
2010-2011,GFS,UNKNOWN,Ova/ Parasites,0
2010-2011,GFS,UNKNOWN,Total Cholesterol,0
2010-2011,IFS,0,Sickle Cell,
2010-2011,IFS,0,Blood Lead,2437
2010-2011,IFS,0,Lead Test,3802
2010-2011,IFS,0,Lead Referral,731
2010-2011,IFS,0,""VDRL, RPR, ART"",
2010-2011,IFS,0,Gonorrhea,
2010-2011,IFS,0,Pap Smear,
2010-2011,IFS,0,Chlamydia,
2010-2011,IFS,0,Pelvic Exam,
2010-2011,IFS,0,Ova/ Parasites,
2010-2011,IFS,0,Total Cholesterol,
2010-2011,IFS,1,Sickle Cell,173
2010-2011,IFS,1,Blood Lead,13435
2010-2011,IFS,1,Lead Test,38444
2010-2011,IFS,1,Lead Referral,6543
2010-2011,IFS,1,""VDRL, RPR, ART"",
2010-2011,IFS,1,Gonorrhea,
2010-2011,IFS,1,Pap Smear,
2010-2011,IFS,1,Chlamydia,
2010-2011,IFS,1,Pelvic Exam,
2010-2011,IFS,1,Ova/ Parasites,56
2010-2011,IFS,1,Total Cholesterol,
2010-2011,IFS,2,Sickle Cell,97
2010-2011,IFS,2,Blood Lead,11345
2010-2011,IFS,2,Lead Test,29631
2010-2011,IFS,2,Lead Referral,4811
2010-2011,IFS,2,""VDRL, RPR, ART"",
2010-2011,IFS,2,Gonorrhea,
2010-2011,IFS,2,Pap Smear,
2010-2011,IFS,2,Chlamydia,
2010-2011,IFS,2,Pelvic Exam,
2010-2011,IFS,2,Ova/ Parasites,
2010-2011,IFS,2,Total Cholesterol,209
2010-2011,IFS,3,Sickle Cell,50
2010-2011,IFS,3,Blood Lead,3448
2010-2011,IFS,3,Lead Test,10292
2010-2011,IFS,3,Lead Referral,1929
